age_months,powertrain,vehicle_type,miles25,miles50,miles75,vehicle,age_years,category
96,bev,car,68800,89729.5,111972,conventional_car,8,conventional
97,bev,car,69748,90700,113048.25,conventional_car,8.083333333333334,conventional
98,bev,car,71397.75,92144.5,114682,conventional_car,8.166666666666666,conventional
99,bev,car,71023,92598.5,115779,conventional_car,8.25,conventional
100,bev,car,72637.5,93899.5,116683,conventional_car,8.333333333333334,conventional
101,bev,car,72954.75,94358,117309.25,conventional_car,8.416666666666666,conventional
102,bev,car,73006,94451,117362,conventional_car,8.5,conventional
103,bev,car,72840.75,94458.5,117952.25,conventional_car,8.583333333333334,conventional
104,bev,car,73593.5,95354.5,118995.25,conventional_car,8.666666666666666,conventional
105,bev,car,72828,95103,118284,conventional_car,8.75,conventional
106,bev,car,73341,95919,119523,conventional_car,8.833333333333334,conventional
107,bev,car,73330,95065,119427,conventional_car,8.916666666666666,conventional
108,bev,car,74516,96838,120386,conventional_car,9,conventional
24,hybrid,car,17927.75,31797,41425,conventional_car,2,conventional
25,hybrid,car,18476,32000,41718,conventional_car,2.0833333333333335,conventional
26,hybrid,car,19421,32986,42398,conventional_car,2.1666666666666665,conventional
27,hybrid,car,19330,32007,42325,conventional_car,2.25,conventional
28,hybrid,car,19374,31003,41638,conventional_car,2.3333333333333335,conventional
29,hybrid,car,19647,30781,41578,conventional_car,2.4166666666666665,conventional
30,hybrid,car,19787,30422,41671,conventional_car,2.5,conventional
31,hybrid,car,20038,30371,41837,conventional_car,2.5833333333333335,conventional
32,hybrid,car,20480,30600,42200,conventional_car,2.6666666666666665,conventional
33,hybrid,car,20944,30902,42411.25,conventional_car,2.75,conventional
34,hybrid,car,21515,31332,42853,conventional_car,2.8333333333333335,conventional
35,hybrid,car,21990.25,31518,42971,conventional_car,2.9166666666666665,conventional
36,hybrid,car,22498,31903,43014.25,conventional_car,3,conventional
37,hybrid,car,23170,32596,43997,conventional_car,3.0833333333333335,conventional
38,hybrid,car,23669,32916,44361,conventional_car,3.1666666666666665,conventional
39,hybrid,car,23717,32864,44274,conventional_car,3.25,conventional
40,hybrid,car,23916,32910,43937,conventional_car,3.3333333333333335,conventional
41,hybrid,car,24121,33175,44400,conventional_car,3.4166666666666665,conventional
